st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
TN,Barger Academy of Fine Arts,470159000731,Hamilton County,4701590,Chattanooga,37411,Chattanooga,37411,Yes under Community Eligibility Option (CEO),362,221,,Prekindergarten,5th Grade
TN,Bargerton Elementary,470180000600,Henderson County,4701800,Lexington,38351,Lexington,38351,Yes under Community Eligibility Option (CEO),273,116,,Prekindergarten,8th Grade
WA,Barker Creek Community School,530108003622,Central Kitsap School District,5301080,Bremerton,98311,Silverdale,98383,Yes under Community Eligibility Option (CEO),529,208,265,Kindergarten,12th Grade
NY,BARKER JUNIOR/SENIOR HIGH SCHOOL,360396000155,BARKER CENTRAL SCHOOL DISTRICT,3603960,BARKER,14012,BARKER,14012,Yes under Community Eligibility Option (CEO),296,,118,7th Grade,12th Grade
NY,BARKER ROAD MIDDLE SCHOOL,362316004490,PITTSFORD CENTRAL SCHOOL DISTRICT,3623160,PITTSFORD,14534,PITTSFORD,14534,No,673,,,6th Grade,8th Grade
TN,Barkers Mill Elementary,470303002108,Montgomery County,4703030,Clarksville,37042,Clarksville,37042,Yes participating without using any Provision or the CEO,988,218,,Prekindergarten,5th Grade
PA,Barkley El Sch,421905001430,Phoenixville Area SD,4219050,Phoenixville,19460,Phoenixville,19460,Yes participating without using any Provision or the CEO,289,,165,2nd Grade,5th Grade
TX,BARKSDALE EL,483510007222,PLANO ISD,4835100,PLANO,75093,PLANO,75093,Yes participating without using any Provision or the CEO,546,,97,Kindergarten,5th Grade
TN,Barksdale Elementary,470303001205,Montgomery County,4703030,Clarksville,37043,Clarksville,37043,Yes participating without using any Provision or the CEO,487,138,,Prekindergarten,5th Grade
NJ,Barley Sheaf Elementary School,340519002984,Flemington-Raritan Regional School District,3405190,FLEMINGTON,08822,FLEMINGTON,08822,Yes participating without using any Provision or the CEO,363,,47,Kindergarten,4th Grade
WI,Barlow Park Charter School,551302003135,Ripon Area School District,5513020,Ripon,54971,Ripon,54971,Yes participating without using any Provision or the CEO,157,,72,Kindergarten,2nd Grade
VT,Barnard Academy,500045000011,Mountain Views Unified Union School District #76,5000450,Barnard,05031,Barnard,05031,Yes under Provision 2,71,,21,Prekindergarten,6th Grade
OK,BARNARD ES,402961001552,TECUMSEH,4029610,Tecumseh,74873,Tecumseh,74873,Yes participating without using any Provision or the CEO,271,191,213,1st Grade,2nd Grade
NC,Barnardsville Elementary,370045001003,Buncombe County Schools,3700450,Barnardsville,28709,Barnardsville,28709,Yes participating without using any Provision or the CEO,109,,106,Prekindergarten,4th Grade
NJ,Barnegat High School,341647000557,Barnegat Township School District,3416470,BARNEGAT,08005,BARNEGAT,08005,Yes participating without using any Provision or the CEO,997,,344,9th Grade,12th Grade
OR,Barnes Butte Elementary,410372001840,Crook County SD,4103720,Prineville,97754,Prineville,97754,Yes under Community Eligibility Option (CEO),516,205,329,Kindergarten,5th Grade
ND,BARNES COUNTY NORTH  ELEMENTARY SCHOOL,380006000701,BARNES COUNTY NORTH 7,3800060,Wimbledon,58492,Wimbledon,58492,Yes participating without using any Provision or the CEO,176,29,60,Prekindergarten,8th Grade
ND,BARNES COUNTY NORTH HIGH SCHOOL,380006000702,BARNES COUNTY NORTH 7,3800060,Wimbledon,58492,Wimbledon,58492,Yes participating without using any Provision or the CEO,75,4,26,9th Grade,12th Grade
TX,BARNES EL,481527001837,CORPUS CHRISTI ISD,4815270,CORPUS CHRISTI,78414,CORPUS CHRISTI,78414,Yes under Community Eligibility Option (CEO),705,,386,Prekindergarten,5th Grade
WA,Barnes Elementary,530000300587,Kelso School District,5300003,Kelso,98626,Kelso,98626,Yes under Community Eligibility Option (CEO),322,233,262,Kindergarten,5th Grade
OR,Barnes Elementary School,410192001205,Beaverton SD 48J,4101920,Beaverton,97005,Beaverton,97005,Yes under Community Eligibility Option (CEO),432,184,301,Prekindergarten,5th Grade
OK,BARNES ES,402328001234,OWASSO,4023280,Owasso,74055,Owasso,74055,Yes participating without using any Provision or the CEO,499,7,204,Prekindergarten,5th Grade
OK,BARNES ES,401995000950,MIDWEST CITY-DEL CITY,4019950,Oklahoma City,73150,Oklahoma City,73150,Yes participating without using any Provision or the CEO,378,178,197,Prekindergarten,5th Grade
WV,Barnes Learning Center (Alc),540072000997,MARION COUNTY SCHOOLS,5400720,Fairmont,26554,Fairmont,26554,Yes under Community Eligibility Option (CEO),,,,Kindergarten,12th Grade
OH,Barnesville Elementary School,390452002120,Barnesville Exempted Village,3904520,Barnesville,43713,Barnesville,43713,Yes participating without using any Provision or the CEO,533,,292,Prekindergarten,4th Grade
OH,Barnesville High School,390452002121,Barnesville Exempted Village,3904520,Barnesville,43713,Barnesville,43713,Yes participating without using any Provision or the CEO,385,,176,9th Grade,12th Grade
OH,Barnesville Middle School,390452010822,Barnesville Exempted Village,3904520,Barnesville,43713,Barnesville,43713,Yes participating without using any Provision or the CEO,430,,249,5th Grade,8th Grade
VT,Barnet Elementary School,500041200421,Caledonia Cooperative Unified School District #78,5000412,Barnet,05821,Barnet,05821,Yes under Provision 2,150,,71,Prekindergarten,8th Grade
TX,BARNETT J H,480870005335,ARLINGTON ISD,4808700,ARLINGTON,76018,ARLINGTON,76018,Yes participating without using any Provision or the CEO,570,,460,7th Grade,8th Grade
UT,Barnett School,490063000689,Nebo District,4900630,PAYSON,84651,PAYSON,84651,Yes participating without using any Provision or the CEO,511,,277,Prekindergarten,6th Grade
NC,Barnette Elementary,370297003023,Charlotte-Mecklenburg Schools,3702970,Huntersville,28078,Huntersville,28078,Yes participating without using any Provision or the CEO,817,,269,Prekindergarten,5th Grade
WI,Barneveld Elementary,550084000111,Barneveld School District,5500840,Barneveld,53507,Barneveld,53507,Yes participating without using any Provision or the CEO,243,,30,Prekindergarten,5th Grade
WI,Barneveld High,550084000112,Barneveld School District,5500840,Barneveld,53507,Barneveld,53507,Yes participating without using any Provision or the CEO,130,,11,9th Grade,12th Grade
WI,Barneveld Middle School,550084003158,Barneveld School District,5500840,Barneveld,53507,Barneveld,53507,Yes participating without using any Provision or the CEO,80,,9,6th Grade,8th Grade
OK,BARNSDALL ES,400357000092,BARNSDALL,4003570,Barnsdall,74002,Barnsdall,74002,Yes participating without using any Provision or the CEO,216,112,143,Prekindergarten,5th Grade
OK,BARNSDALL HS,400357029727,BARNSDALL,4003570,Barnsdall,74002,Barnsdall,74002,Yes participating without using any Provision or the CEO,150,80,85,9th Grade,12th Grade
OK,Barnsdall Middle School,400357029861,BARNSDALL,4003570,Barnsdall,74002,Barnsdall,74002,Yes participating without using any Provision or the CEO,81,36,45,6th Grade,8th Grade
NH,Barnstead Elementary School,330162000012,Barnstead School District,3301620,Ctr. Barnstead,03225,Ctr. Barnstead,03225,Yes participating without using any Provision or the CEO,483,,109,Prekindergarten,8th Grade
NY,BARNUM WOODS SCHOOL,360984000754,EAST MEADOW UNION FREE SCHOOL DISTRICT,3609840,EAST MEADOW,11554,EAST MEADOW,11554,Yes participating without using any Provision or the CEO,786,,144,Kindergarten,5th Grade
SC,Barnwell County Career Center,450098000127,Barnwell 80,4500980,Blackville,29817,Blackville,29817,Yes participating without using any Provision or the CEO,0,,,9th Grade,12th Grade
SC,Barnwell Elementary,450108001163,Barnwell 45,4501080,Barnwell,29812,Barnwell,29812,Yes under Community Eligibility Option (CEO),453,317,453,4th Grade,6th Grade
SC,Barnwell High,450108000132,Barnwell 45,4501080,Barnwell,29812,Barnwell,29812,Yes under Community Eligibility Option (CEO),562,370,562,9th Grade,12th Grade
MO,BARNWELL MIDDLE,292895002307,FRANCIS HOWELL R-III,2928950,ST CHARLES,63303,ST CHARLES,63303,Yes participating without using any Provision or the CEO,783,53,145,6th Grade,8th Grade
SC,Barnwell Primary,450108000130,Barnwell 45,4501080,Barnwell,29812,Barnwell,29812,Yes under Community Eligibility Option (CEO),651,485,651,Prekindergarten,3rd Grade
PA,Baron EL Sch,421455007677,Manheim Central SD,4214550,Manheim,17545,Manheim,17545,Yes participating without using any Provision or the CEO,364,,203,Prekindergarten,4th Grade
NE,BARR MIDDLE SCHOOL,310001601014,GRAND ISLAND PUBLIC SCHOOLS,3100016,GRAND ISLAND,68801,GRAND ISLAND,68801,Yes under Provision 2,663,,500,6th Grade,8th Grade
WV,Barrackville Elementary/Middle School,540072000542,MARION COUNTY SCHOOLS,5400720,Barrackville,26559,Barrackville,26559,Yes under Community Eligibility Option (CEO),346,167,,Prekindergarten,8th Grade
NM,BARRANCA MESA ELEMENTARY,350165000428,LOS ALAMOS,3501650,LOS ALAMOS,87544,LOS ALAMOS,87544,Yes participating without using any Provision or the CEO,422,43,60,Prekindergarten,6th Grade
UT,Barratt School,490003000004,Alpine District,4900030,AMERICAN FORK,84003,AMERICAN FORK,84003,Yes participating without using any Provision or the CEO,601,,93,Prekindergarten,6th Grade
VT,Barre City Elementary/Middle School,500044500055,Barre Unified Union School District #97,5000445,Barre,05641,Barre,05641,Yes under Community Eligibility Option (CEO),757,,534,Prekindergarten,8th Grade
VT,Barre Town Elementary & Middle School,500044500024,Barre Unified Union School District #97,5000445,Barre,05641,Barre,05641,Yes under Community Eligibility Option (CEO),852,,338,Prekindergarten,8th Grade
TN,Barret's Chapel Elementary/Middle,470014801568,Memphis-Shelby County Schools,4700148,Arlington,38002,Arlington,38002,Yes under Community Eligibility Option (CEO),311,136,,Prekindergarten,8th Grade
TX,BARRETT EL,481575005683,CROSBY ISD,4815750,CROSBY,77532,CROSBY,77532,Yes participating without using any Provision or the CEO,579,,342,Kindergarten,5th Grade
PA,Barrett El Sch,422279000193,Steel Valley SD,4222790,Homestead,15120,Homestead,15120,Yes under Community Eligibility Option (CEO),206,,206,Kindergarten,4th Grade
VA,Barrett Elementary,510027000084,Arlington County Public Schools,5100270,Arlington,22203,Arlington,22203,Yes under Community Eligibility Option (CEO),519,364,364,Prekindergarten,5th Grade
MO,BARRETTS ELEM.,292358001375,PARKWAY C-2,2923580,MANCHESTER,63021,MANCHESTER,63021,Yes participating without using any Provision or the CEO,364,13,22,Kindergarten,5th Grade
TX,BARRICK EL,482364002394,HOUSTON ISD,4823640,HOUSTON,77076,HOUSTON,77076,Yes under Community Eligibility Option (CEO),458,,454,Prekindergarten,5th Grade
WI,Barrie Elementary,550474000509,Fort Atkinson School District,5504740,Fort Atkinson,53538,Fort Atkinson,53538,Yes participating without using any Provision or the CEO,212,,70,Prekindergarten,5th Grade
NJ,Barringer High School,341134002190,Newark Public School District,3411340,NEWARK,07104,NEWARK,07104,Yes participating without using any Provision or the CEO,1872,,1044,9th Grade,12th Grade
NY,BARRINGER ROAD ELEMENTARY SCHOOL,360108701282,CENTRAL VALLEY CSD AT ILION-MOHAWK,3601087,ILION,13357,ILION,13357,Yes under Community Eligibility Option (CEO),457,,259,2nd Grade,4th Grade
TX,BARRINGTON EL,480894000296,AUSTIN ISD,4808940,AUSTIN,78753,AUSTIN,78753,Yes under Community Eligibility Option (CEO),355,,346,Prekindergarten,5th Grade
MO,BARRINGTON ELEM.,291383000447,HAZELWOOD,2913830,FLORISSANT,63034,FLORISSANT,63034,Yes under Community Eligibility Option (CEO),513,162,298,Prekindergarten,5th Grade
NH,Barrington Elementary School,330165000013,Barrington School District,3301650,Barrington,03825,Barrington,03825,Yes participating without using any Provision or the CEO,418,,45,1st Grade,4th Grade
RI,Barrington High School,440003000001,Barrington,4400030,Barrington,02806,Barrington,02806,Yes participating without using any Provision or the CEO,1101,34,73,9th Grade,12th Grade
NH,Barrington Middle School,330165000014,Barrington School District,3301650,Barrington,03825,Barrington,03825,Yes participating without using any Provision or the CEO,395,,52,5th Grade,8th Grade
RI,Barrington Middle School,440003000002,Barrington,4400030,Barrington,02806,Barrington,02806,Yes participating without using any Provision or the CEO,762,23,44,6th Grade,8th Grade
TX,BARRINGTON PLACE EL,481965006853,FORT BEND ISD,4819650,SUGAR LAND,77478,SUGAR LAND,77478,Yes participating without using any Provision or the CEO,355,,224,Prekindergarten,5th Grade
OH,Barrington Road Elementary School,390449301859,Upper Arlington City,3904493,Upper Arlington,43221,Upper Arlington,43221,Yes participating without using any Provision or the CEO,778,,19,Kindergarten,5th Grade
WI,Barron Area Montessori School,550087002717,Barron Area School District,5500870,Almena,54805,Almena,54805,Yes participating without using any Provision or the CEO,52,,34,Prekindergarten,6th Grade
TX,BARRON EL,483510012132,PLANO ISD,4835100,PLANO,75074,PLANO,75074,Yes participating without using any Provision or the CEO,365,,308,Prekindergarten,5th Grade
TX,BARRON EL,481830009230,EL PASO ISD,4818300,EL PASO,79934,EL PASO,79934,Yes under Community Eligibility Option (CEO),365,,301,Prekindergarten,5th Grade
VA,Barron Elementary,510180000729,Hampton City Public Schools,5101800,Hampton,23669,Hampton,23669,Yes under Community Eligibility Option (CEO),382,341,341,Prekindergarten,5th Grade
WI,Barron High,550087000114,Barron Area School District,5500870,Barron,54812,Barron,54812,Yes participating without using any Provision or the CEO,312,,163,9th Grade,12th Grade
TX,BARROW EL,481467009140,COLUMBIA-BRAZORIA ISD,4814670,BRAZORIA,77422,WEST COLUMBIA,77486,Yes participating without using any Provision or the CEO,378,,288,1st Grade,5th Grade
PA,Barry Comm John Sch,421899006869,Philadelphia City SD,4218990,Philadelphia,19132,Philadelphia,19132,Yes under Community Eligibility Option (CEO),512,,513,Prekindergarten,8th Grade
NM,BARRY ELEMENTARY,350057000208,CLOVIS,3500570,CLOVIS,88101,CLOVIS,88101,Yes under Community Eligibility Option (CEO),384,42,384,Prekindergarten,5th Grade
MO,Barry School,292523003443,PLATTE CO. R-III,2925230,KANSAS CITY,64154,KANSAS CITY,64154,Yes participating without using any Provision or the CEO,374,33,78,Prekindergarten,5th Grade
TN,Barry Tatum Academy,470455002686,Wilson County,4704550,Lebanon,37090,Lebanon,37090,Yes participating without using any Provision or the CEO,85,20,,6th Grade,12th Grade
TN,Barry Tatum Virtual Learning Academy,470455002262,Wilson County,4704550,Lebanon,37087,Lebanon,37087,No,113,,,4th Grade,12th Grade
VT,Barstow Memorial School,500039009274,Barstow Unified Union School District #49,5000390,Chittenden,05737,Chittenden,05737,Yes under Provision 2,161,,57,Prekindergarten,8th Grade
PA,Bart-Colerain El Sch,422181002656,Solanco SD,4221810,Christiana,17509,Christiana,17509,Yes participating without using any Provision or the CEO,200,,79,Kindergarten,5th Grade
PA,Barth El Sch,421968003345,Pottstown SD,4219680,Pottstown,19464,Pottstown,19464,Yes under Community Eligibility Option (CEO),313,,313,Prekindergarten,4th Grade
NJ,Bartle Elementary School,340717003380,Highland Park Boro School District,3407170,HIGHLAND PARK,08904,HIGHLAND PARK,08904,Yes participating without using any Provision or the CEO,433,,203,2nd Grade,5th Grade
OK,BARTLESVILLE HS,400363029826,BARTLESVILLE,4003630,Bartlesville,74003,Bartlesville,74003,Yes participating without using any Provision or the CEO,1708,759,954,9th Grade,12th Grade
TX,BARTLETT EL,481500022890,CONROE ISD,4815000,CONROE,77304,CONROE,77304,,,,,,
NH,Bartlett Elementary School,330324000138,Goffstown School District,3303240,Manchester,03102,Manchester,03102,Yes participating without using any Provision or the CEO,180,,47,1st Grade,4th Grade
TN,Bartlett Elementary School,470015301569,Bartlett,4700153,Bartlett,38135,Bartlett,38135,Yes participating without using any Provision or the CEO,644,155,,Prekindergarten,5th Grade
TN,Bartlett High School,470015301570,Bartlett,4700153,Bartlett,38134,Bartlett,38134,Yes participating without using any Provision or the CEO,2863,408,,9th Grade,12th Grade
TX,BARTLETT SCHOOLS,480954000406,BARTLETT ISD,4809540,BARTLETT,76511,BARTLETT,76511,Yes under Community Eligibility Option (CEO),439,,409,Prekindergarten,12th Grade
NV,Bartlett Selma F ES,320006000045,Clark County,3200060,Henderson,89074,Henderson,89074,Yes under Community Eligibility Option (CEO),541,174,541,Prekindergarten,5th Grade
NC,Bartlett Yancey High,370066000264,Caswell County Schools,3700660,Yanceyville,27379,Yanceyville,27379,Yes participating without using any Provision or the CEO,691,,688,9th Grade,12th Grade
MO,BARTLEY ELEM.,291255000517,FULTON 58,2912550,FULTON,65251,FULTON,65251,Yes participating without using any Provision or the CEO,252,62,116,Kindergarten,5th Grade
PA,Barton Clara Sch,421899003732,Philadelphia City SD,4218990,Philadelphia,19120,Philadelphia,19120,Yes under Community Eligibility Option (CEO),501,,502,Kindergarten,2nd Grade
TX,BARTON CREEK EL,481776021527,EANES ISD,4817760,AUSTIN,78733,AUSTIN,78733,No,536,,,Kindergarten,5th Grade
TX,BARTON EL,482442002715,IRVING ISD,4824420,IRVING,75061,IRVING,75061,Yes under Community Eligibility Option (CEO),865,,773,Prekindergarten,5th Grade
WI,Barton Elementary,550960001126,Milwaukee School District,5509600,Milwaukee,53223,Milwaukee,53223,Yes under Community Eligibility Option (CEO),259,,240,Prekindergarten,5th Grade
NY,BARTON ELEMENTARY SCHOOL,362247003159,PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,3622470,PATCHOGUE,11772,PATCHOGUE,11772,Yes participating without using any Provision or the CEO,492,,209,Prekindergarten,5th Grade
VT,Barton Graded School,500043600025,Lake Region Union Elementary Middle School District,5000436,Barton,05822,Barton,05822,Yes under Community Eligibility Option (CEO),135,,99,Prekindergarten,8th Grade
TX,BARTON HILLS EL,480894000297,AUSTIN ISD,4808940,AUSTIN,78704,AUSTIN,78704,Yes participating without using any Provision or the CEO,304,,26,Prekindergarten,5th Grade
NC,Barton Pond Elementary,370472003625,Wake County Schools,3704720,Raleigh,27613,Raleigh,27613,Yes participating without using any Provision or the CEO,504,,49,Prekindergarten,5th Grade
NC,Bartram Academy,370276003126,Macon County Schools,3702760,Franklin,28734,Franklin,28734,Yes participating without using any Provision or the CEO,107,,104,9th Grade,12th Grade
PA,Bartram John - Main,421899003847,Philadelphia City SD,4218990,Philadelphia,19142,Philadelphia,19142,Yes under Community Eligibility Option (CEO),526,,526,9th Grade,12th Grade
NY,BARUCH COLLEGE CAMPUS HIGH SCHOOL,360007702856,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10010,NEW YORK,10010,Yes under Community Eligibility Option (CEO),472,,286,9th Grade,12th Grade
NC,Barwell Road Elementary,370472002854,Wake County Schools,3704720,Raleigh,27610,Raleigh,27610,Yes participating without using any Provision or the CEO,672,,669,Prekindergarten,5th Grade
TX,BARWISE MIDDLE,484578013133,WICHITA FALLS ISD,4845780,WICHITA FALLS,76308,WICHITA FALLS,76308,Yes participating without using any Provision or the CEO,1102,,790,6th Grade,8th Grade
OH,Bascom Elementary School,390502403884,LaBrae Local,3905024,Leavittsburg,44430,Leavittsburg,44430,Yes under Community Eligibility Option (CEO),243,114,,Kindergarten,2nd Grade
NY,BASHAW ELEMENTARY SCHOOL,360765000546,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,3607650,CAPE VINCENT,13618,CLAYTON,13624,Yes participating without using any Provision or the CEO,114,,44,Prekindergarten,5th Grade
NV,Basic Academy of Int'l Studies HS,320006000007,Clark County,3200060,Henderson,89015,Henderson,89015,Yes under Community Eligibility Option (CEO),2514,1259,2514,9th Grade,12th Grade
WA,Basin City Elem,530573000846,North Franklin School District,5305730,Mesa,99343,Connell,99326,Yes under Community Eligibility Option (CEO),333,227,262,Kindergarten,6th Grade
UT,Basin Online School,490024001618,Duchesne District,4900240,ROOSEVELT,84066,ROOSEVELT,84066,No,46,,23,Kindergarten,12th Grade
MT,Basin School,300282000036,Basin Elem,3002820,Basin,59631,Basin,59631,Yes participating without using any Provision or the CEO,19,,10,Prekindergarten,6th Grade
TX,BASIS AUSTIN,480143814163,BASIS TEXAS,4801438,AUSTIN,78758,AUSTIN,78758,No,211,,,3rd Grade,8th Grade
TX,BASIS AUSTIN PRI,480143814067,BASIS TEXAS,4801438,AUSTIN,78758,AUSTIN,78758,No,201,,,Kindergarten,2nd Grade
TX,BASIS BENBROOK,480143814166,BASIS TEXAS,4801438,BENBROOK,76126,BENBROOK,76126,No,459,,,Kindergarten,6th Grade
TX,BASIS CEDAR PARK,480143822937,BASIS TEXAS,4801438,CEDAR PARK,78613,CEDAR PARK,78613,No,279,,,6th Grade,9th Grade
TX,BASIS CEDAR PARK PRI,480143822938,BASIS TEXAS,4801438,CEDAR PARK,78613,CEDAR PARK,78613,No,718,,,Kindergarten,5th Grade
TX,BASIS PFLUGERVILLE,480143814164,BASIS TEXAS,4801438,PFLUGERVILLE,78660,PFLUGERVILLE,78660,No,170,,,6th Grade,9th Grade
TX,BASIS PFLUGERVILLE PRI,480143814167,BASIS TEXAS,4801438,PFLUGERVILLE,78660,PFLUGERVILLE,78660,No,618,,,Kindergarten,5th Grade
TX,BASIS SAN ANTONIO - JACK LEWIS JR CAMPUS,480143814165,BASIS TEXAS,4801438,SAN ANTONIO,78251,SAN ANTONIO,78251,No,132,,,6th Grade,7th Grade
TX,BASIS SAN ANTONIO - NORTHEAST CAMPUS,480143814025,BASIS TEXAS,4801438,SAN ANTONIO,78233,SAN ANTONIO,78233,No,138,,,5th Grade,8th Grade
TX,BASIS SAN ANTONIO PRI - JACK LEWIS JR CAMPUS,480143814168,BASIS TEXAS,4801438,SAN ANTONIO,78251,SAN ANTONIO,78251,No,514,,,Kindergarten,5th Grade
TX,BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,480143814145,BASIS TEXAS,4801438,SAN ANTONIO,78233,SAN ANTONIO,78233,No,282,,,Kindergarten,4th Grade
TX,BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,480143813659,BASIS TEXAS,4801438,SAN ANTONIO,78240,SAN ANTONIO,78216,No,771,,,Kindergarten,5th Grade
TX,BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,480143813202,BASIS TEXAS,4801438,SAN ANTONIO,78216,SAN ANTONIO,78216,No,735,,,Kindergarten,5th Grade
TX,BASIS SAN ANTONIO- SHAVANO CAMPUS,480143813036,BASIS TEXAS,4801438,SAN ANTONIO,78230,SAN ANTONIO,78216,No,1038,,,6th Grade,12th Grade
NC,Baskerville Elementary,370327000703,Nash County Public Schools,3703270,Rocky Mount,27801,Rocky Mount,27801,Yes participating without using any Provision or the CEO,321,,318,Kindergarten,5th Grade
TX,BASKIN EL,483873004324,SAN ANTONIO ISD,4838730,SAN ANTONIO,78201,SAN ANTONIO,78201,Yes under Community Eligibility Option (CEO),268,,223,Prekindergarten,5th Grade
NV,Bass John C ES,320006000506,Clark County,3200060,Las Vegas,89183,Las Vegas,89183,Yes under Community Eligibility Option (CEO),543,274,543,Prekindergarten,5th Grade
VA,Bass-Hoover Elementary,510147000647,Frederick County Public Schools,5101470,Stephens City,22655,Stephens City,22655,Yes participating without using any Provision or the CEO,621,256,285,Prekindergarten,5th Grade
NE,BASSETT GRADE SCHOOL,317617000212,ROCK COUNTY PUBLIC SCHOOLS,3176170,BASSETT,68714,BASSETT,68714,Yes participating without using any Provision or the CEO,130,,40,Prekindergarten,6th Grade
VA,Bassett High,510192000837,Henry County Public Schools,5101920,Bassett,24055,Bassett,24055,Yes under Community Eligibility Option (CEO),1140,1134,1134,9th Grade,12th Grade
TX,BASSETTI EL,480744002371,ABILENE ISD,4807440,ABILENE,79606,ABILENE,79606,Yes under Community Eligibility Option (CEO),542,,404,Prekindergarten,5th Grade
TX,BASSWOOD EL,482526011970,KELLER ISD,4825260,FORT WORTH,76137,FORT WORTH,76137,Yes participating without using any Provision or the CEO,519,,325,Prekindergarten,5th Grade
TX,BASTIAN EL,482364002395,HOUSTON ISD,4823640,HOUSTON,77033,HOUSTON,77033,Yes under Community Eligibility Option (CEO),664,,661,Prekindergarten,5th Grade
UT,Bastian School,490042001498,Jordan District,4900420,HERRIMAN,84096,HERRIMAN,84096,Yes participating without using any Provision or the CEO,721,,127,Kindergarten,6th Grade
TX,BASTROP COUNTY JUVENILE BOOT CAMP,481836010392,ELGIN ISD,4818360,ELGIN,78621,BASTROP,78602,Yes participating without using any Provision or the CEO,1,,‡,10th Grade,10th Grade
TX,BASTROP COUNTY JUVENILE BOOT CAMP,484055010394,SMITHVILLE ISD,4840550,BASTROP,78602,BASTROP,78602,,,,,,
TX,BASTROP H S,480957000409,BASTROP ISD,4809570,BASTROP,78602,BASTROP,78602,Yes under Community Eligibility Option (CEO),1729,,993,9th Grade,12th Grade
TX,BASTROP INT,480957005709,BASTROP ISD,4809570,BASTROP,78602,BASTROP,78602,Yes under Community Eligibility Option (CEO),416,,256,6th Grade,6th Grade
TX,BASTROP MIDDLE,480957000410,BASTROP ISD,4809570,BASTROP,78602,BASTROP,78602,Yes under Community Eligibility Option (CEO),882,,557,7th Grade,8th Grade
NM,BATAAN ELEMENTARY,350069000941,DEMING,3500690,DEMING,88030,DEMING,88030,Yes under Community Eligibility Option (CEO),531,290,531,Prekindergarten,5th Grade
OH,Bataan Memorial Intermediate School,390446501534,Port Clinton City,3904465,Port Clinton,43452,Port Clinton,43452,No,282,,,3rd Grade,5th Grade
OH,Bataan Memorial Primary School,390446501532,Port Clinton City,3904465,Port Clinton,43452,Port Clinton,43452,Yes participating without using any Provision or the CEO,365,,362,Prekindergarten,2nd Grade
OH,Batavia Elementary School,390463002503,Batavia Local,3904630,Batavia,45103,Batavia,45103,Yes participating without using any Provision or the CEO,1158,,556,Prekindergarten,5th Grade
NY,BATAVIA HIGH SCHOOL,360399000156,BATAVIA CITY SCHOOL DISTRICT,3603990,BATAVIA,14020,BATAVIA,14020,Yes under Community Eligibility Option (CEO),672,,378,9th Grade,12th Grade
OH,Batavia High School,390463002504,Batavia Local,3904630,Batavia,45103,Batavia,45103,Yes participating without using any Provision or the CEO,664,,311,9th Grade,12th Grade
NY,BATAVIA MIDDLE SCHOOL,360399000157,BATAVIA CITY SCHOOL DISTRICT,3603990,BATAVIA,14020,BATAVIA,14020,Yes under Community Eligibility Option (CEO),612,,402,5th Grade,8th Grade
OH,Batavia Middle School,390463000818,Batavia Local,3904630,Batavia,45103,Batavia,45103,Yes participating without using any Provision or the CEO,570,,280,6th Grade,8th Grade
SC,Bates Middle,450390201064,Sumter 01,4503902,Sumter,29150,Sumter,29150,Yes under Community Eligibility Option (CEO),525,368,525,6th Grade,8th Grade
UT,Bates School,490120000612,Weber District,4901200,OGDEN,84414,OGDEN,84414,Yes participating without using any Provision or the CEO,685,,122,Kindergarten,6th Grade
WA,Bates Technical College - Open Doors,530001403585,Bates Technical College,5300014,Tacoma,98405,Tacoma,98405,No,0,,,9th Grade,12th Grade
WA,Bates Technical High School,530001403082,Bates Technical College,5300014,Tacoma,98405,Tacoma,98405,No,533,,,9th Grade,12th Grade
SC,Batesburg-Leesville Elementary School,450276000744,Lexington 03,4502760,Batesburg-Leesville,29070,Batesburg-Leesville,29070,Yes under Community Eligibility Option (CEO),429,209,429,3rd Grade,5th Grade
SC,Batesburg-Leesville High School,450276000748,Lexington 03,4502760,Batesburg-Leesville,29006,Batesburg-Leesville,29006,Yes under Community Eligibility Option (CEO),570,465,570,9th Grade,12th Grade
SC,Batesburg-Leesville Middle School,450276001274,Lexington 03,4502760,Batesburg-Leesville,29006,Batesburg-Leesville,29006,Yes under Community Eligibility Option (CEO),457,263,457,6th Grade,8th Grade
SC,Batesburg-Leesville Primary School,450276000745,Lexington 03,4502760,Batesburg-Leesville,29006,Batesburg-Leesville,29006,Yes under Community Eligibility Option (CEO),535,349,535,Prekindergarten,2nd Grade
SD,Batesland School - 01,466546000573,Oglala Lakota County 65-1,4665460,Batesland,57716,Batesland,57716,Yes under Community Eligibility Option (CEO),209,,209,Prekindergarten,8th Grade
TX,BATESVILLE SCHOOL,484372011429,UVALDE CISD,4843720,BATESVILLE,78829,UVALDE,78802,Yes under Community Eligibility Option (CEO),115,,106,Prekindergarten,8th Grade
