st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
WI,Oconto Middle,551092001430,Oconto Unified School District,5510920,Oconto,54153,Oconto,54153,Yes participating without using any Provision or the CEO,300,,155,5th Grade,8th Grade
WA,Ocosta ALE,530609003829,Ocosta School District,5306090,Westport,98595,Westport,98595,No,9,6,6,Kindergarten,12th Grade
WA,Ocosta Elementary School,530609000913,Ocosta School District,5306090,Westport,98595,Westport,98595,Yes under Community Eligibility Option (CEO),324,234,264,Prekindergarten,6th Grade
WA,Ocosta Junior - Senior High,530609000914,Ocosta School District,5306090,Westport,98595,Westport,98595,Yes under Community Eligibility Option (CEO),257,165,181,7th Grade,12th Grade
NM,OCOTILLO ELEMENTARY,350030001123,CARLSBAD,3500300,CARLSBAD,88220,CARLSBAD,88220,Yes under Community Eligibility Option (CEO),711,196,250,Kindergarten,5th Grade
NC,Ocracoke School,370228000979,Hyde County Schools,3702280,Ocracoke,27960,Ocracoke,27960,Yes participating without using any Provision or the CEO,151,,68,Prekindergarten,12th Grade
SC,OCSD High School for Health Professions,450391901604,Limestone Charters Association,4503919,Orangeburg,29118,Orangeburg,29118,Yes participating without using any Provision or the CEO,439,,3,9th Grade,12th Grade
NJ,Octavio V. Catto Community Family School,340264000793,Camden City School District,3402640,CAMDEN,08105,CAMDEN,08105,Yes under Community Eligibility Option (CEO),600,,325,Prekindergarten,8th Grade
PA,Octorara Area JSHS,421803001414,Octorara Area SD,4218030,Atglen,19310,Atglen,19310,Yes participating without using any Provision or the CEO,1027,,1024,7th Grade,12th Grade
PA,Octorara El Sch,421803001413,Octorara Area SD,4218030,Atglen,19310,Atglen,19310,Yes participating without using any Provision or the CEO,297,,294,3rd Grade,4th Grade
PA,Octorara Intermediate Sch,421803006848,Octorara Area SD,4218030,Atglen,19310,Atglen,19310,Yes participating without using any Provision or the CEO,283,,280,5th Grade,6th Grade
PA,Octorara Primary LC,421803000543,Octorara Area SD,4218030,Atglen,19310,Atglen,19310,Yes participating without using any Provision or the CEO,391,,388,Kindergarten,2nd Grade
NJ,OCVTS Grunin Performing Arts Academy,341198006122,Ocean County Vocational Technical School District,3411980,Toms River,08754,Toms River,08754,Yes participating without using any Provision or the CEO,268,,24,9th Grade,12th Grade
TX,ODEM EL,483336013581,ODEM-EDROY ISD,4833360,ODEM,78370,ODEM,78370,Yes under Community Eligibility Option (CEO),246,,153,Prekindergarten,2nd Grade
TX,ODEM H S,483336003744,ODEM-EDROY ISD,4833360,ODEM,78370,ODEM,78370,Yes under Community Eligibility Option (CEO),274,,179,9th Grade,12th Grade
