st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
IN,Clarence Farrington School 61,180477002393,Indianapolis Public Schools,1804770,Indianapolis,46222,Indianapolis,46222,Yes under Community Eligibility Option (CEO),532,514,283,Prekindergarten,6th Grade
MI,Clarence Fischer Center,263471000275,Vassar Public Schools,2634710,VASSAR,48768,VASSAR,48768,Yes participating without using any Provision or the CEO,14,,11,6th Grade,12th Grade
CA,Clarence Lobo Elementary,060744003373,Capistrano Unified,0607440,San Clemente,92672,San Clemente,92672,Yes participating without using any Provision or the CEO,335,89,161,Kindergarten,5th Grade
MI,Clarence Randall Elem School,263354006891,Taylor School District,2633540,TAYLOR,48180,TAYLOR,48180,Yes under Community Eligibility Option (CEO),486,,413,Kindergarten,5th Grade
CA,Clarence Ruth Elementary,062241002689,Lompoc Unified,0622410,Lompoc,93436,Lompoc,93438,Yes under Community Eligibility Option (CEO),457,316,397,Kindergarten,6th Grade
MI,Clarenceville High School,260984004469,Clarenceville School District,2609840,LIVONIA,48152,LIVONIA,48152,Yes under Community Eligibility Option (CEO),612,,413,9th Grade,12th Grade
MI,Clarenceville Middle School,260984004468,Clarenceville School District,2609840,LIVONIA,48152,LIVONIA,48152,Yes under Community Eligibility Option (CEO),371,,277,6th Grade,8th Grade
CA,Clarendon Alternative Elementary,063441005666,San Francisco Unified,0634410,San Francisco,94131,San Francisco,94131,Yes under Community Eligibility Option (CEO),529,66,121,Kindergarten,5th Grade
AR,CLARENDON ELEMENTARY SCHOOL,050435000163,CLARENDON SCHOOL DISTRICT,0504350,CLARENDON,72029,CLARENDON,72029,Yes under Community Eligibility Option (CEO),214,76,240,Kindergarten,6th Grade
AR,CLARENDON HIGH SCHOOL,050435000164,CLARENDON SCHOOL DISTRICT,0504350,CLARENDON,72029,CLARENDON,72029,Yes under Community Eligibility Option (CEO),194,43,194,7th Grade,12th Grade
IL,Clarendon Hills Middle School,171929004036,Hinsdale CCSD 181,1719290,Clarendon Hills,60514,Clarendon Hills,60514,No,475,,,6th Grade,8th Grade
AZ,Clarendon School,040567000459,Osborn Elementary District (4262),0405670,PHOENIX,85013,PHOENIX,85013,Yes under Community Eligibility Option (CEO),411,228,,Prekindergarten,8th Grade
IA,Clarinda High School,190735000340,Clarinda Comm School District,1907350,Clarinda,51632,Clarinda,51632,Yes participating without using any Provision or the CEO,481,,198,7th Grade,12th Grade
IA,Clarion-Goldfield-Dows Elementary School,190738000346,Clarion-Goldfield-Dows Comm School District,1907380,Clarion,50525,Clarion,50525,Yes participating without using any Provision or the CEO,517,,275,Prekindergarten,5th Grade
IA,Clarion-Goldfield-Dows High School,190738000347,Clarion-Goldfield-Dows Comm School District,1907380,Clarion,50525,Clarion,50525,Yes participating without using any Provision or the CEO,298,,144,9th Grade,12th Grade
IA,Clarion-Goldfield-Dows Middle School,190738000348,Clarion-Goldfield-Dows Comm School District,1907380,Clarion,50525,Clarion,50525,Yes participating without using any Provision or the CEO,195,,89,6th Grade,8th Grade
IL,Clark  G R Elem School,170993001210,Chicago Public Schools Dist 299,1709930,Chicago,60644,Chicago,60644,Yes under Community Eligibility Option (CEO),144,,127,Prekindergarten,8th Grade
IL,Clark Acad Prep Magnet High Schl,170993005076,Chicago Public Schools Dist 299,1709930,Chicago,60644,Chicago,60644,Yes under Community Eligibility Option (CEO),411,,408,9th Grade,12th Grade
FL,CLARK ADVANCED LEARNING CENTER,120129004044,MARTIN,1201290,STUART,34997,STUART,34997,Yes participating without using any Provision or the CEO,249,39,52,10th Grade,12th Grade
MA,Clark Avenue School,250354001158,Chelsea,2503540,Chelsea,2150,Chelsea,2150,Yes under Community Eligibility Option (CEO),678,528,,5th Grade,8th Grade
KY,Clark County Area Technology Center,210028902062,Kentucky Tech System,2100289,Winchester,40391,Winchester,40391,Yes participating without using any Provision or the CEO,0,,,8th Grade,12th Grade
ID,CLARK COUNTY JR/SR HIGH SCHOOL,160075000144,CLARK COUNTY DISTRICT,1600750,DUBOIS,83423,DUBOIS,83423,Yes under Provision 2,51,7,38,6th Grade,12th Grade
KY,Clark County Preschool,210120002120,Clark County,2101200,Winchester,40391,Winchester,40391,Yes under Community Eligibility Option (CEO),258,173,187,Prekindergarten,Prekindergarten
GA,Clark Creek Elementary School,130111004072,Cherokee County,1301110,Acworth,30102,Acworth,30102,Yes participating without using any Provision or the CEO,1159,292,597,Prekindergarten,5th Grade
KS,Clark Davidson Elem,200654001678,Goddard,2006540,Goddard,67052,Goddard,67052,Yes participating without using any Provision or the CEO,430,,163,Prekindergarten,4th Grade
IA,Clark Early Childhood Center,192640001500,Sioux City Comm School District,1926400,Sioux City,51104,Sioux City,51104,Yes participating without using any Provision or the CEO,72,,22,Prekindergarten,Prekindergarten
KS,Clark Elem,201299000263,Wichita,2012990,Wichita,67207,Wichita,67207,Yes participating without using any Provision or the CEO,240,,218,Prekindergarten,5th Grade
IA,Clark Elementary School,191653000983,Le Mars Comm School District,1916530,Le Mars,51031,Le Mars,51031,Yes participating without using any Provision or the CEO,298,,173,Prekindergarten,5th Grade
IN,Clark Elementary School,180189000244,Clark-Pleasant Community Sch Corp,1801890,Franklin,46131,Franklin,46131,Yes participating without using any Provision or the CEO,501,308,276,Kindergarten,5th Grade
IA,Clark Elementary School,192046001209,New London Comm School District,1920460,New London,52645,New London,52645,Yes participating without using any Provision or the CEO,310,,122,Prekindergarten,5th Grade
FL,CLARK ELEMENTARY SCHOOL,120087003375,HILLSBOROUGH,1200870,TAMPA,33647,TAMPA,33647,Yes under Community Eligibility Option (CEO),888,265,281,Prekindergarten,5th Grade
IL,Clark Elementary School,173660004430,County of Winnebago SD 320,1736600,South Beloit,61080,South Beloit,61080,Yes under Community Eligibility Option (CEO),191,,114,Prekindergarten,1st Grade
AL,Clark Elementary School,010297001151,Selma City,0102970,Selma,36703,Selma,36703,Yes under Community Eligibility Option (CEO),138,134,127,Prekindergarten,6th Grade
